No,continent,short,country,food,foodexplain,photourl,nonwikiurl,etc
67,"Western Europe",BE,Belgium,Waterzooi,"Waterzooi is a stew dish from Belgium and originating in Flanders . The second part of the name derives from the Middle Dutch terms "sode", "zo(o)de" and "soot", words referring to the act of boiling or the ingredients being boiled.",https://upload.wikimedia.org/wikipedia/commons/thumb/5/5e/%28waterzooi%29_%2879743868%29.jpg/250px-%28waterzooi%29_%2879743868%29.jpg,,
68,"Western Europe",BE,Belgium,Stoemp,"Stoemp is the richer Brussels variant of the stamppot dish in Belgian cuisine. It consists of pureed or mashed potatoes and other root vegetables, and can also include cream, bacon, onion or shallot, herbs, and spices.",https://upload.wikimedia.org/wikipedia/commons/thumb/2/23/Cod_and_stoemp.jpg/200px-Cod_and_stoemp.jpg,,
69,"Western Europe",BE,Belgium,"paling in 't groen","Paling in 't groen is a Flemish regional dish, mainly from the area along the River Scheldt between Dendermonde and Antwerp. The Dutch language name (literally 'Eel in the Green') refers to freshwater eel in a green herb sauce.",https://upload.wikimedia.org/wikipedia/commons/thumb/e/ea/Paling_in_t_groen.jpg/225px-Paling_in_t_groen.jpg,,
70,"Western Europe",BE,Belgium,Frites,"Frites are a type of basic potato dish made by pan- or skillet-frying chunked, sliced, wedged or diced potatoes that are sometimes unpeeled and may have been par-cooked by boiling, baking, steaming, or microwaving.",https://upload.wikimedia.org/wikipedia/commons/thumb/3/30/Flickr_lifeontheedge_3672951574--Home_fried_potatoes.jpg/250px-Flickr_lifeontheedge_3672951574--Home_fried_potatoes.jpg,,
71,"Western Europe",AU,Austria,Sachertorte,"Sachertorte is a chocolate cake, or torte of Austrian origin, invented by Franz Sacher in 1832 for Prince Metternich in Vienna.",https://upload.wikimedia.org/wikipedia/commons/thumb/1/14/Sachertorte_DSC03027_retouched.jpg/250px-Sachertorte_DSC03027_retouched.jpg,,
72,"Western Europe",AU,Austria,"Wiener Schnitzel","Wiener schnitzel , sometimes spelled Wienerschnitzel, as in Switzerland, is a type of schnitzel made of a thin, breaded, pan-fried veal cutlet.",https://upload.wikimedia.org/wikipedia/commons/thumb/a/ae/Wiener-Schnitzel02.jpg/220px-Wiener-Schnitzel02.jpg,,
73,"Western Europe",AU,Austria,"Wiener Sausages(Wiener Würstchen)","A Vienna sausage is a thin parboiled sausage traditionally made of pork and beef in a casing of sheep's intestine, then given a low temperature smoking.",https://upload.wikimedia.org/wikipedia/commons/thumb/1/13/Wiener_Wuerstchen_fcm.jpg/220px-Wiener_Wuerstchen_fcm.jpg,,
74,"Western Europe",AU,Austria,Kaiserschmarrn,"Kaiserschmarrn or Kaiserschmarren is a sweet dessert that takes its name from the Austrian emperor (Kaiser) Franz Joseph I, who was very fond of this kind of fluffy shredded pancake.",https://upload.wikimedia.org/wikipedia/commons/thumb/4/4f/2015_0731_Kaiserschmarrn_Apfelso%C3%9Fe_Edelweissh%C3%BCtte_S%C3%B6lden.jpg/250px-2015_0731_Kaiserschmarrn_Apfelso%C3%9Fe_Edelweissh%C3%BCtte_S%C3%B6lden.jpg,,
75,"Western Europe",AU,Austria,"Apple strudel(Apfelstrudel)","Apple strudel is a traditional Viennese strudel, a popular pastry in Austria, Northern Italy and in many other countries in Europe that once belonged to the Austro-Hungarian Empire (1867). "Strudel" a German word, derives from the Middle High German word for "whirlpool" or "eddy". The apple strudel variant is called "Strudel di mele" in Italian, strudel jabłkowy in Poland, "trudel de mere" in Romanian, "jabolčni zavitek" in Slovenian, Almásrétes in Hungarian and Apfelstrudel in German.",https://upload.wikimedia.org/wikipedia/commons/thumb/4/40/Strudel.jpg/375px-Strudel.jpg,,
76,"Western Europe",DE,Germany,Brezel,"A pretzel is a type of baked pastry made from dough that is commonly shaped into a knot. The traditional pretzel shape is a distinctive symmetrical form, with the ends of a long strip of dough intertwined and then twisted back onto itself in a particular way (a pretzel loop). In modern times, pretzels come in a wide range of shapes. Salt is the most common seasoning for pretzels, complementing the washing soda or lye treatment that gives pretzels their traditional skin and flavor acquired through the Maillard reaction. Other seasonings are cheeses, sugar, chocolate, cinnamon, sweet glazing, seeds, and nuts. Varieties of pretzels include soft pretzels, which should be eaten shortly after preparation, and hard-baked pretzels, which have a long shelf life.",https://upload.wikimedia.org/wikipedia/commons/thumb/3/30/BrezelnSalz02_%28cropped%29.JPG/375px-BrezelnSalz02_%28cropped%29.JPG,,
77,"Western Europe",DE,Germany,Schweinshaxe,"Schweinshaxe , in German cuisine, is a roasted ham hock. The ham hock is the end of the pig's leg, just above the ankle and below the meaty ham portion. It is especially popular in Bavaria as Schweinshaxn or Sauhax. A variation of this dish is known in parts of Germany as Eisbein, in which the ham hock is pickled and usually slightly boiled. Schweinshaxe is one of the formerly typical peasant foods, in which recipes were composed to make inexpensive and tough cuts of meat more palatable (see, for beef, the popular Sauerbraten). Such inexpensive cuts usually require long periods of preparation. The meat is sometimes marinated for days, and in the case of big cuts up to a week. The Schweinshaxe is then roasted at low temperatures, typically depending on size for two to three hours. The most popular side dishes are potatoes and cabbage variations. The Austrian version of this dish is called Stelze or in dialect Stötzn/Stelzn. It is usually marinated or pre-boiled in a caraway seed and garlic brine, roasted until the skin is crisp, and served with mustard, horseradish, and pickled chili peppers. The Bavarian version is classically served with potato dumplings and red cabbage, or with sauerkraut and potatoes.",https://upload.wikimedia.org/wikipedia/commons/thumb/c/c0/Schweinshaxe_Chiang_Mai.JPG/401px-Schweinshaxe_Chiang_Mai.JPG,,
78,"Western Europe",DE,Germany,kartoffelpuffer,"Potato pancakes, draniki, deruny, latkes, raggmunk or boxties are shallow-fried pancakes of grated or ground potato, matzo meal or flour and a binding ingredient such as egg or applesauce, often flavored with grated garlic or onion and seasoning. They may be topped with a variety of condiments, ranging from the savory (such as sour cream or cottage cheese), to the sweet (such as apple sauce or sugar), or they may be served plain. The dish is sometimes made from mashed potatoes to make pancake-shaped croquettes. Some variations may be made with sweet potatoes.",https://upload.wikimedia.org/wikipedia/commons/thumb/0/00/Latkas.jpg/330px-Latkas.jpg,,
79,"Western Europe",DE,Germany,Maultaschen,"Maultaschen is a traditional German dish that originated in the region of Swabia. It consists of an outer-layer of pasta dough which encloses a filling traditionally consisting of minced meat, smoked meat, spinach, bread crumbs and onions and flavored with various herbs and spices (e.g. pepper, parsley and nutmeg). Maultaschen are similar to the Italian ravioli but are typically larger in size each Maultasche being approximately 8-12 centimeters (3-5 inches) across. They are almost invariably square or rectangular in shape. On 22 October 2009, the European Union recognized Maultaschen as a "regional specialty" and remarked that the dish is significant to the cultural heritage of Baden-Württemberg. This measure provides protection to the integrity of the dish, mandating that genuine Maultaschen are only produced in Swabia, a historical region that was incorporated into the modern German states of Baden-Württemberg and Bavaria.",https://upload.wikimedia.org/wikipedia/commons/thumb/3/33/Maultaschensuppe.jpg/375px-Maultaschensuppe.jpg,,
80,"Western Europe",DE,Germany,Sauerbraten,"Sauerbraten is a traditional German roast of heavily marinated meat. It is regarded as a national dish of Germany, and is frequently served in German-style restaurants internationally. It can be prepared from a variety of meats, most often from beef, but also from venison, lamb and mutton, pork and horse. Before cooking, the raw meat is marinated for three to ten days in a mixture of vinegar or wine, water, herbs, spices, and seasonings. Usually, tougher cuts of meat such as rump roast or bottom round of beef are used, and the long marinating tenderizes the meat. A Sauerbraten dinner is almost always accompanied by a hearty gravy resulting from its roasting and is most often served with potato pancakes (Kartoffelpuffer), potato dumplings, or Spätzle pasta. Ingredients used in the marinade, and accompanyments served with Sauerbraten, vary across regions. Regional variants of the dish include those from Franconia, Thuringia, Rhineland, Saarland, Silesia, and Swabia",https://upload.wikimedia.org/wikipedia/commons/thumb/a/a1/S%C3%A4chsischer_Sauerbraten.jpg/330px-S%C3%A4chsischer_Sauerbraten.jpg,,
81,"Western Europe",DE,Germany,Spatzle,"Spatzle, or Knopfle (diminutive of button), also Spatzli or Chnopfli in Switzerland or Hungarian Nokedli, Csipetke, Galuska or Slovak Halusky, is a type of pasta made with fresh eggs and found in the cuisines of southern Germany and Austria, Switzerland, Hungary, Slovenia, Alsace, Moselle and South Tyrol.",https://upload.wikimedia.org/wikipedia/commons/thumb/2/28/Sp%C3%A4tzle-02.jpg/220px-Sp%C3%A4tzle-02.jpg,,
82,"Southern Europe",ES,Spain,Paella,"Paella is one of the best-known dishes in the Spanish cuisine. For this reason, it may be seen internationally as Spain's national dish, but Spaniards almost unanimously consider it to be a dish from the Valencian region; those who live there, in turn, regard paella as one of their identifying symbols. Paella takes its name from the wide, shallow traditional pan used to cook the dish on an open fire. Paella means "frying pan" in Valencian, Valencia's regional language.",https://upload.wikimedia.org/wikipedia/commons/thumb/e/ed/01_Paella_Valenciana_original.jpg/220px-01_Paella_Valenciana_original.jpg,,
83,"Southern Europe",ES,Spain,"gambas al ajillo","Gambas al ajillo, as they are called in Spain, are a popular dish of Spanish cuisine usually found mostly in the south and center of the territory. The ingredients that make up this dish are peeled shrimp , garlic and olive oil . It is usually served as a ration in bars. This dish is part of the typical dishes of the bar culture in Spain and is so popular that there are bars in Madrid that offer it as a main dish.",https://upload.wikimedia.org/wikipedia/commons/thumb/6/65/Gambas_al_ajillo.jpg/220px-Gambas_al_ajillo.jpg,,
84,"Southern Europe",ES,Spain,Gazpacho,"Gazpacho is a soup cold with various ingredients such as olive oil , vinegar , water , bread , vegetables , usually raw tomatoes , cucumbers , peppers , onions and garlic . There are older versions that added to the main ingredients flour beans, bitter oranges, almonds, etc.",https://upload.wikimedia.org/wikipedia/commons/thumb/c/c0/Gazpacho_Cazuela_Barro.jpg/220px-Gazpacho_Cazuela_Barro.jpg,,
85,"Southern Europe",ES,Spain,"Patatas bravas","The patatas bravas called also potatoes brava or potatoes bravas - are some potatoes cut into irregular cubes about three centimeters about size and are fried in oil and served with a sauce. In most cases it is a hot sauce , called salsa brava , but the sauce does not necessarily have to chop. The type of sauce used is poured over the potatoes, serving the whole hot set.",https://upload.wikimedia.org/wikipedia/commons/thumb/2/24/PatatasBravasBrillante-2009.jpg/220px-PatatasBravasBrillante-2009.jpg,,
86,"Southern Europe",ES,Spain,"cochinillo asado","The roast suckling (also called tostón roasted or abbreviated tostón ) is a variety of roast of a sucker (called piglet ). In Spanish cuisine it is very popular in the land of Castile",https://upload.wikimedia.org/wikipedia/commons/thumb/0/07/Cochinillo_asado-Madrid.jpg/240px-Cochinillo_asado-Madrid.jpg,,
87,"Southern Europe",MA,Morocco,Tajine,"A tajine or tagine is a Maghrebi dish which is named after the earthenware pot in which it is cooked. It is also called maraq or marqa.",https://upload.wikimedia.org/wikipedia/commons/thumb/9/9f/ZnuTjn2a.jpg/375px-ZnuTjn2a.jpg,,
88,"Southern Europe",MA,Morocco,Couscous,"Couscous originated as a Maghrebi dish of small (about 3 millimetres (0.12 in) diameter) steamed balls of crushed durum wheat semolina that is traditionally served with a stew spooned on top. Pearl millet and sorghum, especially in the Sahel, and other cereals can be cooked in a similar way and the resulting dishes are also sometimes called couscous. Pearl or Israeli couscous, properly known as ptitim, is a type of pasta. Couscous is a staple food throughout the North African cuisines of Morocco, Algeria, Tunisia, Mauritania, and Libya. It is also important in the cuisine of those from that area who have emigrated elsewhere such as the Moroccan Jews in Israel, and has sometimes spread from them to their new neighbors as in France where couscous introduced by Algerian immigrants is now a very popular dish. In Western supermarkets, it is sometimes sold in instant form with a flavor packet, and may be served as a side or on its own as a main dish.",https://upload.wikimedia.org/wikipedia/commons/thumb/c/c5/Cuscus.jpg/353px-Cuscus.jpg,,
89,"Southern Europe",MA,Morocco,Khlea,"Khlea or khlii is a preserved meat, usually made with beef or lamb, originating from Morocco. Khlea is made by cutting meat into strips and letting it dry in the sun after marinating it in garlic, coriander and cumin. The meat is cooked in a mixture of water, oil and animal fat. Upon cooling, the meat is submerged in more animal fat and left to dry. Khlea can be preserved for up to two years at room temperature.",https://upload.wikimedia.org/wikipedia/commons/thumb/0/04/Moroccan_preserved_dried_meat-Khli-01.jpg/330px-Moroccan_preserved_dried_meat-Khli-01.jpg,,
90,"Southern Europe",MA,Morocco,Beghrir,"Baghrir or beghrir is a pancake consumed in the Maghreb region. They are small, spongy and made with semolina or flour; when cooked correctly, they are riddled with tiny holes (which soak up whatever sauce they are served with). The most common way to eat baghrir in Algeria and Morocco is by dipping them in a honey-butter mixture, but they can also be cut into wedges and served with jam. It is common to add raisins to the pancake as well. Baghrir are popular for breakfast, as a snack and for iftar during Ramadan.",https://upload.wikimedia.org/wikipedia/commons/thumb/a/a0/Beghrir_%28Homemade%29.jpg/375px-Beghrir_%28Homemade%29.jpg,,
91,"Southern Europe",IT,Italy,cannoli,"Cannoli are Italian pastries that originated on the island of Sicily and are today a staple of Sicilian cuisine. Cannoli consist of tube-shaped shells of fried pastry dough, filled with a sweet, creamy filling usually containing ricotta. They range in size from "cannulicchi", no bigger than a finger, to the fist-sized proportions typically found south of Palermo, Sicily, in Piana degli Albanesi. In the mainland Italy they are commonly known as cannoli siciliani (Sicilian cannoli).",https://upload.wikimedia.org/wikipedia/commons/thumb/1/14/Cannolo_siciliano_with_chocolate_squares.jpg/330px-Cannolo_siciliano_with_chocolate_squares.jpg,,
92,"Southern Europe",IT,Italy,pizza,"Pizza is a savory dish of Italian origin, consisting of a usually round, flattened base of leavened wheat-based dough topped with tomatoes, cheese, and often various other ingredients (anchovies, olives, meat, etc.) baked at a high temperature, traditionally in a wood-fired oven. A small pizza is sometimes called a pizzetta. In Italy, pizza served in formal settings, such as at a restaurant, is presented unsliced and eaten with the use of a knife and fork. In casual settings it is cut into wedges to be eaten while held in the hand. The term pizza was first recorded in the 10th century in a Latin manuscript from the Southern Italian town of Gaeta in Lazio, on the border with Campania. Modern pizza was invented in Naples, and the dish and its variants have since become popular in many countries. It has become one of the most popular foods in the world and a common fast food item in Europe and North America, available at pizzerias (restaurants specializing in pizza), restaurants offering Mediterranean cuisine, and via pizza delivery. Many companies sell ready-baked frozen pizzas to be reheated in an ordinary home oven. The Associazione Verace Pizza Napoletana (lit. True Neapolitan Pizza Association) is a non-profit organization founded in 1984 with headquarters in Naples that aims to promote traditional Neapolitan pizza. In 2009, upon Italy's request, Neapolitan pizza was registered with the European Union as a Traditional Speciality Guaranteed dish, and in 2017 the art of its making was included on UNESCO's list of intangible cultural heritage.",https://upload.wikimedia.org/wikipedia/commons/thumb/a/a3/Eq_it-na_pizza-margherita_sep2005_sml.jpg/330px-Eq_it-na_pizza-margherita_sep2005_sml.jpg,,
93,"Southern Europe",IT,Italy,focaccia,"Focaccia is a flat oven-baked Italian bread product. similar in style and texture to pizza dough. Focaccia can be used as a side to many meals or as sandwich bread. Focaccia al rosmarino (focaccia with rosemary) is a common focaccia style in Italian cuisine that may be served as an antipasto, appetizer, table bread, or snack.",https://upload.wikimedia.org/wikipedia/commons/thumb/e/e2/Focaccia_Genovese_02.jpg/330px-Focaccia_Genovese_02.jpg,,
94,"Southern Europe",IT,Italy,piadina,"Piadina or Piada is a thin Italian flatbread, typically prepared in the Romagna historical region (Forlì, Cesena, Ravenna and Rimini). It is usually made with white flour, lard or olive oil, salt and water. The dough was traditionally cooked on a terracotta dish (called teggia in the Romagnol), although nowadays flat pans or electric griddles are commonly used. The Piadina has been added to the list of the traditional regional food products of Italy of the Emilia-Romagna Region.",https://upload.wikimedia.org/wikipedia/commons/thumb/e/e6/Piadina.jpg/375px-Piadina.jpg,,
95,"Southern Europe",IT,Italy,"cacio e pepe","Cacio e pepe is a pasta dish from modern Roman cuisine. "Cacio e pepe" means "cheese and pepper" in several central Italian dialects. As the name suggests, the ingredients of the dish are very simple: black pepper, grated Pecorino Romano cheese, and spaghetti.All the ingredients keep well for a long time, which made the dish practical for shepherds without fixed abode. Rough-surfaced pasta is recommended, to make the sauce adhere well. The pasta is prepared in boiling salted water as usual; it is then poured into the grated pecorino mixed with black pepper, with a little of the hot, starchy, cooking water. The heat melts the cheese, and the starches in the water help bind the pepper and cheese to the pasta. While not authentic cacio e pepe, seafood or bacon may be added, and other shapes of pasta such as rigatoni, always made with a rough surface, may be used.",https://upload.wikimedia.org/wikipedia/commons/thumb/8/87/Cacio_e_pepe_at_trattoria_in_Rome.jpg/375px-Cacio_e_pepe_at_trattoria_in_Rome.jpg,,
96,"Southern Europe",GR,Greece,Gyros,"A gyro or gyros is a Greek dish made from meat cooked on a vertical rotisserie. Like shawarma and tacos al pastor, it is derived from the lamb-based doner kebab. In Greece it is now most often pork or chicken, whilst beef, chicken, and lamb is common in other countries. It is typically served wrapped or stuffed in a pita, along with ingredients such as tomato, onion, and tzatziki sauce.",https://upload.wikimedia.org/wikipedia/commons/thumb/c/c7/Pita_giros.JPG/353px-Pita_giros.JPG,,
97,"Southern Europe",GR,Greece,"Greek yogurt","Strained yogurt, Greek yogurt, yogurt cheese, or sack yoghurt is yogurt that has been strained to remove most of its whey, resulting in a thicker consistency than unstrained yogurt, while preserving yogurt's distinctive sour taste. Like many types of yogurt, strained yogurt is often made from milk that has been enriched by boiling off some of its water content, or by adding extra butterfat and powdered milk. In Europe and North America, it is often made from low-fat or fat-free milk. In Iceland, a similar product named skyr is made. Strained yogurt is generally marketed in North America as "Greek yogurt" and in Britain as "Greek-style yoghurt",though strained yogurt is also widely eaten in Levantine, Eastern Mediterranean, Middle Eastern, Central Asian and South Asian cuisines, wherein it is often used in cooking (as it is high enough in fat content to avoid curdling at higher temperatures). Such dishes may be cooked or raw, savoury or sweet. Due to the straining process to remove excess whey, even non-fat varieties of strained yogurt are much thicker, richer, and creamier than yogurts that have not been strained. Since the straining process removes the whey, or fluid, from the milk solids, it requires substantially more plain yogurt to produce a cup of strained yogurt, so the cost to make it is increased accordingly. Thickeners, such as pectin, locust bean gum, starches or guar gum, listed in the ingredients indicate straining was not the method used to consolidate the milk solids. Marketing of Greek or Greek-style yogurt in the United States allows the use of more thickeners instead of straining, so there is little difference between the yogurt of years prior to the introduction of strained yogurt other than an increase of thickeners, even though the price is now higher for the original, unstrained products. In western Europe and the US, strained yogurt has increased in popularity compared to unstrained yogurt. Since the straining process removes some of the lactose, strained yogurt is lower in sugar than unstrained yogurt.",https://upload.wikimedia.org/wikipedia/commons/thumb/2/2c/Labneh01.jpg/375px-Labneh01.jpg,,
98,"Southern Europe",GR,Greece,Saganaki,"In Greek cuisine, saganaki is any one of a variety of dishes prepared in a small frying pan, the best-known being an appetizer of fried cheese.
The cheese used in cheese saganaki is usually graviera, kefalograviera, halloumi, kasseri, kefalotyri, or sheep's milk feta cheese. Regional variations include the use of formaela cheese in Arachova, halloumi in Cyprus, and vlahotiri in Metsovo. The cheese is melted in a small frying pan until it is bubbling and generally served with lemon juice and pepper. It is eaten with bread.
Other dishes cooked in a saganaki pan include shrimp saganaki, and mussels saganaki, which are typically feta-based and include a spicy tomato sauce.",https://upload.wikimedia.org/wikipedia/commons/thumb/a/a8/Saganaki.jpg/375px-Saganaki.jpg,,
99,"Southern Europe",GR,Greece,Melomakarona,"The melomakarono is an egg-shaped Greek dessert made mainly from flour, olive oil, and honey. Along with the kourabies it is a traditional dessert prepared primarily during the Christmas holiday season. Typical ingredients of the melomakarono are flour or semolina, sugar, orange zest and/or fresh juice, cognac (or similar beverage), cinnamon and olive oil. During rolling they are often filled with ground walnuts. Immediately after baking, they are immersed for a few seconds in cold syrup made of honey and sugar dissolved in water. Finally, they are decorated with ground, as well as bigger pieces of walnut. Dark chocolate-covered melomakarona are also a more recent variation of the traditional recipe.",https://upload.wikimedia.org/wikipedia/commons/thumb/e/ef/Melomakarona.jpg/450px-Melomakarona.jpg,,
100,"Southern Europe",PT,Portugal,bacalhau,"Bacalhau is the Portuguese word for cod. Fresh (unsalted) cod is referred to as bacalhau fresco (fresh cod). It is often cooked on social occasions and is the traditional Christmas Eve dinner in some parts of Portugal.",https://upload.wikimedia.org/wikipedia/commons/thumb/c/ce/Klippfisk.jpg/220px-Klippfisk.jpg,,
101,"Southern Europe",PT,Portugal,caldeirada,"Caldeirada is a Portuguese and Galician (Northwestern Spain region) fish stew consisting of a wide variety of fish and potatoes, along with other ingredients. A fishermen's stew, the dish has been described as "a fish muddle that varies from town to town and depends on what the fishermen have managed to catch.",https://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Caldeirada_Paraense.jpg/220px-Caldeirada_Paraense.jpg,,
102,"Southern Europe",PT,Portugal,"caldo verde","Caldo verde is a popular soup in Portuguese cuisine. The basic traditional ingredients for caldo verde are potatoes, collard greens, olive oil, black pepper and salt. Garlic and onion are traditionally added as well. Some recipes add meat, such as ham hock, making it similar to Italo-American wedding soup. The soup is usually accompanied by slices of paio, and with Portuguese broa cornbread for dipping.",https://upload.wikimedia.org/wikipedia/commons/thumb/6/69/Caldo_verde.jpg/250px-Caldo_verde.jpg,,
103,"Southern Europe",PT,Portugal,"pastel de nata","Pastel de nata also known as Portuguese custard tart, is a Portuguese egg tart pastry dusted with cinnamon. Outside Portugal, they are particularly popular in other parts of Western Europe, Asia and former Portuguese colonies, such as Brazil and Macau.",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0c/Pasteis_de_Belem.jpg/300px-Pasteis_de_Belem.jpg,,
104,"Southern Europe",PT,Portugal,Feijoada,"Feijoada is a stew of beans with beef and pork. It is commonly prepared in Portugal, Brazil, Angola, Cape Verde, Guinea-Bissau, Mozambique, East Timor, Goa, India and Macau, where it is also considered a national dish. However, the recipe differs slightly from one country to another. Brazilian feijoada made with black beans. The name comes from feijão, Portuguese for "beans".",https://upload.wikimedia.org/wikipedia/commons/thumb/8/84/Feijoada_01.jpg/220px-Feijoada_01.jpg,,
105,"South America",PE,Peru,"pisco sour","A pisco sour is an alcoholic cocktail of Peruvian origin that is typical of the cuisines from Chile and Peru. The drink's name comes from pisco, which is its base liquor, and the cocktail term sour, in reference to sour citrus juice and sweetener components. The Peruvian pisco sour uses Peruvian pisco as the base liquor and adds freshly squeezed lime juice, simple syrup, ice, egg white, and Angostura bitters.",https://upload.wikimedia.org/wikipedia/commons/thumb/2/27/Pisco_sour_20100613b.JPG/220px-Pisco_sour_20100613b.JPG,,
106,"South America",PE,Peru,"Lomo saltado","Lomo saltado is a popular, traditional Peruvian dish, a stir fry that typically combines marinated strips of sirloin (or other beef steak) with onions, tomatoes, french fries, and other ingredients; and is typically served with rice. The dish originated as part of the chifa tradition, the Chinese cuisine of Peru, though its popularity has made it part of the mainstream culture.",https://upload.wikimedia.org/wikipedia/commons/thumb/8/80/Lomo_Saltado_-_Lima%2C_Peru_Miraflores_%28Tiendecita_Blanca%29.jpg/250px-Lomo_Saltado_-_Lima%2C_Peru_Miraflores_%28Tiendecita_Blanca%29.jpg,,
107,"South America",PE,Peru,"Aji de Gallina","Aji de gallina is Peruvian chicken stew. The dish is considered a type of Peruvian comfort food, comprising chicken cooked with yellow chili peppers, walnuts, spices, garlic, and turmeric. The dish uses aji amarillo peppers, which are yellow, mildly spicy peppers. It's served with boiled potatoes, rice and black olives. It is believed to have been introduced in 16th century Peru by African slaves brought to Peru by the Spanish. It was created using leftover chicken and potatoes. Other variants include using turkey or canned tuna.",https://upload.wikimedia.org/wikipedia/commons/thumb/4/44/Aj%C3%AD_de_gallina_-_Tradicional.jpg/220px-Aj%C3%AD_de_gallina_-_Tradicional.jpg,,
108,"South America",PE,Peru,Pachamanca,"Pachamanca (from Quechua pacha "earth", manka "pot") is a traditional Peruvian dish baked with the aid of hot stones. The earthen oven is known as a huatia. It is generally made of lamb, mutton, alpaca, pork, chicken or guinea pig, marinated in spices. Other Andean produce, such as potato or chuño (naturally freeze-dried potato), habas (green lima beans), sweet potato, cassava, yuca, humitas (corn cakes), ears of corn, and chili, are often included in the baking.",https://upload.wikimedia.org/wikipedia/commons/thumb/9/9d/Pachamanca_Peru.JPG/220px-Pachamanca_Peru.JPG,,
109,"South America",PE,Peru,"Lomo a lo Pobre","Lomo a lo pobre, bistec a lo pobre or bife a lo pobre is a dish from Chile and Peru. The common ingredients for both preparations are beef tenderloin (Spanish lomo) topped with one or more fried eggs and French fries. The ingredients that differentiate both dishes are fried onions, as it is served in Chile, and rice and fried plantains. Unlike steak and eggs, lomo a lo pobre is eaten as a lunch or dinner.",https://upload.wikimedia.org/wikipedia/commons/thumb/0/05/Lomo_a_lo_pobre_Oct_29_2011_Santiago_Chile.jpg/220px-Lomo_a_lo_pobre_Oct_29_2011_Santiago_Chile.jpg,,
110,"South America",BR,Brazil,Churrasco,"Churrasco is the Portuguese and Hispanic name for beef or grilled meat more generally. It is a prominent feature in the cuisine of Brazil and its South America Hispanic neighbour countries Uruguay, Bolivia, Argentina, Guatemala, Colombia, Nicaragua, Peru, Chile and other Latin American countries. The related term churrascaria (or churrasqueria) is mostly understood to be a steakhouse. A churrascaria is a restaurant serving grilled meat, many offering as much as one can eat: the waiters move around the restaurant with the skewers, slicing meat onto the customer's plate. This serving style is called espeto corrido or rodízio, and is quite popular in Brazil, specially in southern states like Rio Grande do Sul, Parana, Santa Catarina and Sao Paulo.",https://upload.wikimedia.org/wikipedia/commons/thumb/7/72/Churrasco00003.jpg/600px-Churrasco00003.jpg,,
111,"South America",BR,Brazil,Coxinha,"Coxinha is a popular food in Brazil consisting of chopped or shredded chicken meat, covered in dough, molded into a shape resembling a teardrop, battered and fried.",https://upload.wikimedia.org/wikipedia/commons/thumb/8/81/Coxinha.jpg/375px-Coxinha.jpg,,
112,"South America",BR,Brazil,Tacaca,"Tacaca is a soup common to North Brazil, particularly the states of Acre, Amazonas, Rondonia and Para, and is well loved and widely consumed. It is made with jambu (a native variety of paracress), and tucupi (a broth made with wild manioc), as well as dried shrimps and small yellow peppers. It must be served extremely hot in a cuia.",https://upload.wikimedia.org/wikipedia/commons/thumb/4/42/Tacac%C3%A1_servido_na_loja_Tacac%C3%A1_do_Norte_em_2016-12-15.jpg/255px-Tacac%C3%A1_servido_na_loja_Tacac%C3%A1_do_Norte_em_2016-12-15.jpg,,
113,"South America",VE,Venezuela,Cachapa(crumpet),"Cachapa (Spanish for "crumpet") is a traditional Venezuelan dish made from maize flour. Like arepas, they are popular at roadside stands. They can be made like pancakes of fresh corn dough, or wrapped in dry corn leaves and boiled (cachapa de hoja). The most common varieties are made with fresh ground corn mixed into a thick batter and cooked on a budare, like pancakes; the cachapa is slightly thicker and lumpier because of the pieces from corn kernels.
Cachapas are traditionally eaten with queso de mano (handmade cheese), a soft, mozzarella-like cheese, and occasionally with fried pork chicharrón on the side. Cachapas can be very elaborate, some including different kinds of cheese, milky cream, or jam. They can be prepared as an appetizer, generally with margarine, or as a full breakfast with hand cheese and fried pork.",https://upload.wikimedia.org/wikipedia/commons/thumb/8/86/Cachapas_from_Venezuela.jpg/330px-Cachapas_from_Venezuela.jpg,,
114,"South America",VE,Venezuela,"Pabellon Criollo","Pabellon criollo is a traditional Venezuelan dish, the local version of the rice and beans combination found throughout the Caribbean. It is a plate of rice, shredded beef in stew and stewed black beans.
Common additions include tajadas (fried plantain slices) or a fried egg, and both of these variants have acquired slang names. A pabellón con barandas (baranda is Spanish for guard rail) is served with tajadas because the long plantain slices placed on the sides are humorously considered to be keeping the food from falling off from the plate. A pabellón a caballo (a caballo is Spanish for horseback riding) means with a fried egg on top, as though the egg were "riding" the dish. Besides these two main variants, people also add other things to the dish such as granulated sugar on the beans, Queso Palmita over the beans or hot sauce over the meat.

The shredded beef can be replaced by chiguire, shredded caiman meat or even freshwater fish depending on the region, time of the year (beef consumption is prohibited by the Roman Catholic Church during Lent; however, capybara and fish are approved) or personal taste.",https://upload.wikimedia.org/wikipedia/commons/thumb/e/e5/Pabell%C3%B3n_Criollo_Venezolano.jpg/330px-Pabell%C3%B3n_Criollo_Venezolano.jpg,,
